Tournament,Group,Teams
Korea/Japan 2002,Group A,Denmark
Korea/Japan 2002,Group A,France
Korea/Japan 2002,Group A,Senegal
Korea/Japan 2002,Group A,Uruguay
Korea/Japan 2002,Group B,Paraguay
Korea/Japan 2002,Group B,Slovenia
Korea/Japan 2002,Group B,South Africa
Korea/Japan 2002,Group B,Spain
Korea/Japan 2002,Group C,Brazil
Korea/Japan 2002,Group C,China PR
Korea/Japan 2002,Group C,Costa Rica
Korea/Japan 2002,Group C,Turkey
Korea/Japan 2002,Group D,Poland
Korea/Japan 2002,Group D,Portugal
Korea/Japan 2002,Group D,South Korea
Korea/Japan 2002,Group D,United States
Korea/Japan 2002,Group E,Cameroon
Korea/Japan 2002,Group E,Germany
Korea/Japan 2002,Group E,Republic of Ireland
Korea/Japan 2002,Group E,Saudi Arabia
Korea/Japan 2002,Group F,Argentina
Korea/Japan 2002,Group F,England
Korea/Japan 2002,Group F,Nigeria
Korea/Japan 2002,Group F,Sweden
Korea/Japan 2002,Group G,Croatia
Korea/Japan 2002,Group G,Ecuador
Korea/Japan 2002,Group G,Italy
Korea/Japan 2002,Group G,Mexico
Korea/Japan 2002,Group H,Belgium
Korea/Japan 2002,Group H,Japan
Korea/Japan 2002,Group H,Russia
Korea/Japan 2002,Group H,Tunisia
Germany 2006,Group A,Costa Rica
Germany 2006,Group A,Ecuador
Germany 2006,Group A,Germany
Germany 2006,Group A,Poland
Germany 2006,Group B,England
Germany 2006,Group B,Paraguay
Germany 2006,Group B,Sweden
Germany 2006,Group B,Trinidad and Tobago
Germany 2006,Group C,Argentina
Germany 2006,Group C,Ivory Coast
Germany 2006,Group C,Netherlands
Germany 2006,Group C,Serbia and Montenegro
Germany 2006,Group D,Angola
Germany 2006,Group D,Iran
Germany 2006,Group D,Mexico
Germany 2006,Group D,Portugal
Germany 2006,Group E,Czech Republic
Germany 2006,Group E,Ghana
Germany 2006,Group E,Italy
Germany 2006,Group E,United States
Germany 2006,Group F,Australia
Germany 2006,Group F,Brazil
Germany 2006,Group F,Croatia
Germany 2006,Group F,Japan
Germany 2006,Group G,France
Germany 2006,Group G,South Korea
Germany 2006,Group G,Switzerland
Germany 2006,Group G,Togo
Germany 2006,Group H,Saudi Arabia
Germany 2006,Group H,Spain
Germany 2006,Group H,Tunisia
Germany 2006,Group H,Ukraine
South Africa 2010,Group A,France
South Africa 2010,Group A,Mexico
South Africa 2010,Group A,South Africa
South Africa 2010,Group A,Uruguay
South Africa 2010,Group B,Argentina
South Africa 2010,Group B,Greece
South Africa 2010,Group B,Nigeria
South Africa 2010,Group B,South Korea
South Africa 2010,Group C,Algeria
South Africa 2010,Group C,England
South Africa 2010,Group C,Slovenia
South Africa 2010,Group C,United States
South Africa 2010,Group D,Australia
South Africa 2010,Group D,Germany
South Africa 2010,Group D,Ghana
South Africa 2010,Group D,Serbia
South Africa 2010,Group E,Cameroon
South Africa 2010,Group E,Denmark
South Africa 2010,Group E,Japan
South Africa 2010,Group E,Netherlands
South Africa 2010,Group F,Italy
South Africa 2010,Group F,New Zealand
South Africa 2010,Group F,Paraguay
South Africa 2010,Group F,Slovakia
South Africa 2010,Group G,Brazil
South Africa 2010,Group G,Ivory Coast
South Africa 2010,Group G,North Korea
South Africa 2010,Group G,Portugal
South Africa 2010,Group H,Chile
South Africa 2010,Group H,Honduras
South Africa 2010,Group H,Spain
South Africa 2010,Group H,Switzerland
Brazil 2014,Group A,Brazil
Brazil 2014,Group A,Cameroon
Brazil 2014,Group A,Croatia
Brazil 2014,Group A,Mexico
Brazil 2014,Group B,Australia
Brazil 2014,Group B,Chile
Brazil 2014,Group B,Netherlands
Brazil 2014,Group B,Spain
Brazil 2014,Group C,Colombia
Brazil 2014,Group C,Greece
Brazil 2014,Group C,Ivory Coast
Brazil 2014,Group C,Japan
Brazil 2014,Group D,Costa Rica
Brazil 2014,Group D,England
Brazil 2014,Group D,Italy
Brazil 2014,Group D,Uruguay
Brazil 2014,Group E,Ecuador
Brazil 2014,Group E,France
Brazil 2014,Group E,Honduras
Brazil 2014,Group E,Switzerland
Brazil 2014,Group F,Argentina
Brazil 2014,Group F,Bosnia and Herzegovina
Brazil 2014,Group F,Iran
Brazil 2014,Group F,Nigeria
Brazil 2014,Group G,Germany
Brazil 2014,Group G,Ghana
Brazil 2014,Group G,Portugal
Brazil 2014,Group G,United States
Brazil 2014,Group H,Algeria
Brazil 2014,Group H,Belgium
Brazil 2014,Group H,Russia
Brazil 2014,Group H,South Korea
Russia 2018,Group A,Egypt
Russia 2018,Group A,Russia
Russia 2018,Group A,Saudi Arabia
Russia 2018,Group A,Uruguay
Russia 2018,Group B,Iran
Russia 2018,Group B,Morocco
Russia 2018,Group B,Portugal
Russia 2018,Group B,Spain
Russia 2018,Group C,Australia
Russia 2018,Group C,Denmark
Russia 2018,Group C,France
Russia 2018,Group C,Peru
Russia 2018,Group D,Argentina
Russia 2018,Group D,Croatia
Russia 2018,Group D,Iceland
Russia 2018,Group D,Nigeria
Russia 2018,Group E,Brazil
Russia 2018,Group E,Costa Rica
Russia 2018,Group E,Serbia
Russia 2018,Group E,Switzerland
Russia 2018,Group F,Germany
Russia 2018,Group F,Mexico
Russia 2018,Group F,South Korea
Russia 2018,Group F,Sweden
Russia 2018,Group G,Belgium
Russia 2018,Group G,England
Russia 2018,Group G,Panama
Russia 2018,Group G,Tunisia
Russia 2018,Group H,Colombia
Russia 2018,Group H,Japan
Russia 2018,Group H,Poland
Russia 2018,Group H,Senegal
