Tournament,Stage,Group,Home,Result,Away
Korea/Japan 2002,Group stage,Group A,France,0–1,Senegal
Korea/Japan 2002,Group stage,Group A,Uruguay,1–2,Denmark
Korea/Japan 2002,Group stage,Group A,Denmark,1–1,Senegal
Korea/Japan 2002,Group stage,Group A,France,0–0,Uruguay
Korea/Japan 2002,Group stage,Group A,Denmark,2–0,France
Korea/Japan 2002,Group stage,Group A,Senegal,3–3,Uruguay
Korea/Japan 2002,Group stage,Group B,Paraguay,2–2,South Africa
Korea/Japan 2002,Group stage,Group B,Spain,3–1,Slovenia
Korea/Japan 2002,Group stage,Group B,Spain,3–1,Paraguay
Korea/Japan 2002,Group stage,Group B,South Africa,1–0,Slovenia
Korea/Japan 2002,Group stage,Group B,South Africa,2–3,Spain
Korea/Japan 2002,Group stage,Group B,Slovenia,1–3,Paraguay
Korea/Japan 2002,Group stage,Group C,Brazil,2–1,Turkey
Korea/Japan 2002,Group stage,Group C,China PR,0–2,Costa Rica
Korea/Japan 2002,Group stage,Group C,Brazil,4–0,China PR
Korea/Japan 2002,Group stage,Group C,Costa Rica,1–1,Turkey
Korea/Japan 2002,Group stage,Group C,Costa Rica,2–5,Brazil
Korea/Japan 2002,Group stage,Group C,Turkey,3–0,China PR
Korea/Japan 2002,Group stage,Group D,South Korea,2–0,Poland
Korea/Japan 2002,Group stage,Group D,United States,3–2,Portugal
Korea/Japan 2002,Group stage,Group D,South Korea,1–1,United States
Korea/Japan 2002,Group stage,Group D,Portugal,4–0,Poland
Korea/Japan 2002,Group stage,Group D,Portugal,0–1,South Korea
Korea/Japan 2002,Group stage,Group D,Poland,3–1,United States
Korea/Japan 2002,Group stage,Group E,Republic of Ireland,1–1,Cameroon
Korea/Japan 2002,Group stage,Group E,Germany,8–0,Saudi Arabia
Korea/Japan 2002,Group stage,Group E,Germany,1–1,Republic of Ireland
Korea/Japan 2002,Group stage,Group E,Cameroon,1–0,Saudi Arabia
Korea/Japan 2002,Group stage,Group E,Cameroon,0–2,Germany
Korea/Japan 2002,Group stage,Group E,Saudi Arabia,0–3,Republic of Ireland
Korea/Japan 2002,Group stage,Group F,Argentina,1–0,Nigeria
Korea/Japan 2002,Group stage,Group F,England,1–1,Sweden
Korea/Japan 2002,Group stage,Group F,Sweden,2–1,Nigeria
