Tournament,Group,Teams
Russia 2018,Group A,Egypt
Russia 2018,Group A,Russia
Russia 2018,Group A,Saudi Arabia
Russia 2018,Group A,Uruguay
Russia 2018,Group B,Iran
Russia 2018,Group B,Morocco
Russia 2018,Group B,Portugal
Russia 2018,Group B,Spain
Russia 2018,Group C,Australia
Russia 2018,Group C,Denmark
Russia 2018,Group C,France
Russia 2018,Group C,Peru
Russia 2018,Group D,Argentina
Russia 2018,Group D,Croatia
Russia 2018,Group D,Iceland
Russia 2018,Group D,Nigeria
Russia 2018,Group E,Brazil
Russia 2018,Group E,Costa Rica
Russia 2018,Group E,Serbia
Russia 2018,Group E,Switzerland
Russia 2018,Group F,Germany
Russia 2018,Group F,Mexico
Russia 2018,Group F,South Korea
Russia 2018,Group F,Sweden
Russia 2018,Group G,Belgium
Russia 2018,Group G,England
Russia 2018,Group G,Panama
Russia 2018,Group G,Tunisia
Russia 2018,Group H,Colombia
Russia 2018,Group H,Japan
Russia 2018,Group H,Poland
Russia 2018,Group H,Senegal
