Tournament,Stage,Group,Date,Home,Result,Away,Location
Russia 2018,Group Stage,Group A,"June 14, 2018",Russia,5 - 0,Saudi Arabia,"Luzhniki Stadium, Moscow"
Russia 2018,Group Stage,Group A,"June 15, 2018",Egypt,0 - 1,Uruguay,"Central Stadium, Ekaterinburg"
Russia 2018,Group Stage,Group B,"June 15, 2018",Morocco,0 - 1,Iran,"Gazprom Arena, Saint Petersburg"
Russia 2018,Group Stage,Group B,"June 15, 2018",Portugal,3 - 3,Spain,"Fisht Olympic Stadium, Sochi"
Russia 2018,Group Stage,Group C,"June 16, 2018",France,2 - 1,Australia,"Kazan Arena, Kazan"
Russia 2018,Group Stage,Group D,"June 16, 2018",Argentina,1 - 1,Iceland,"Otkritie Arena, Moscow"
Russia 2018,Group Stage,Group C,"June 16, 2018",Peru,0 - 1,Denmark,"Mordovia Arena, Saransk"
Russia 2018,Group Stage,Group D,"June 16, 2018",Croatia,2 - 0,Nigeria,"Kaliningrad Stadium, Kaliningrad"
Russia 2018,Group Stage,Group E,"June 17, 2018",Costa Rica,0 - 1,Serbia,"Samara Arena, Samara"
Russia 2018,Group Stage,Group F,"June 17, 2018",Germany,0 - 1,Mexico,"Luzhniki Stadium, Moscow"
Russia 2018,Group Stage,Group E,"June 17, 2018",Brazil,1 - 1,Switzerland,"Rostov Arena, Rostov-on-Don"
Russia 2018,Group Stage,Group F,"June 18, 2018",Sweden,1 - 0,South Korea,"Nizhny Novgorod Stadium, Nizhny Novgorod"
Russia 2018,Group Stage,Group G,"June 18, 2018",Belgium,3 - 0,Panama,"Fisht Olympic Stadium, Sochi"
Russia 2018,Group Stage,Group G,"June 18, 2018",Tunisia,1 - 2,England,"Volgograd Arena, Volgograd"
Russia 2018,Group Stage,Group H,"June 19, 2018",Colombia,1 - 2,Japan,"Mordovia Arena, Saransk"
Russia 2018,Group Stage,Group H,"June 19, 2018",Poland,1 - 2,Senegal,"Otkritie Arena, Moscow"
Russia 2018,Group Stage,Group A,"June 19, 2018",Russia,3 - 1,Egypt,"Gazprom Arena, Saint Petersburg"
Russia 2018,Group Stage,Group B,"June 20, 2018",Portugal,1 - 0,Morocco,"Luzhniki Stadium, Moscow"
Russia 2018,Group Stage,Group A,"June 20, 2018",Uruguay,1 - 0,Saudi Arabia,"Rostov Arena, Rostov-on-Don"
Russia 2018,Group Stage,Group B,"June 20, 2018",Iran,0 - 1,Spain,"Kazan Arena, Kazan"
Russia 2018,Group Stage,Group C,"June 21, 2018",Denmark,1 - 1,Australia,"Samara Arena, Samara"
Russia 2018,Group Stage,Group C,"June 21, 2018",France,1 - 0,Peru,"Central Stadium, Ekaterinburg"
Russia 2018,Group Stage,Group D,"June 21, 2018",Argentina,0 - 3,Croatia,"Nizhny Novgorod Stadium, Nizhny Novgorod"
Russia 2018,Group Stage,Group E,"June 22, 2018",Brazil,2 - 0,Costa Rica,"Gazprom Arena, Saint Petersburg"
Russia 2018,Group Stage,Group D,"June 22, 2018",Nigeria,2 - 0,Iceland,"Volgograd Arena, Volgograd"
Russia 2018,Group Stage,Group E,"June 22, 2018",Serbia,1 - 2,Switzerland,"Kaliningrad Stadium, Kaliningrad"
Russia 2018,Group Stage,Group G,"June 23, 2018",Belgium,5 - 2,Tunisia,"Otkritie Arena, Moscow"
Russia 2018,Group Stage,Group F,"June 23, 2018",South Korea,1 - 2,Mexico,"Rostov Arena, Rostov-on-Don"
