Tournament,Country,No.,Pos.,Player,Date of Birth,Caps,Goals,Club
Russia 2018,Egypt,1,GK,Essam El Hadary (captain),1973-01-15,158,0,Al Taawoun
Russia 2018,Egypt,2,DF,Ali Gabr,1989-01-01,21,1,West Bromwich Albion
Russia 2018,Egypt,3,DF,Ahmed Elmohamady,1987-09-09,78,2,Aston Villa
Russia 2018,Egypt,4,MF,Omar Gaber,1992-01-30,24,0,Los Angeles FC
Russia 2018,Egypt,5,MF,Sam Morsy,1991-09-10,5,0,Wigan Athletic
Russia 2018,Egypt,6,DF,Ahmed Hegazi,1991-01-25,45,1,West Bromwich Albion
Russia 2018,Egypt,7,DF,Ahmed Fathy,1984-11-10,126,3,Al Ahly
Russia 2018,Egypt,8,MF,Tarek Hamed,1988-10-24,21,0,Zamalek
Russia 2018,Egypt,9,FW,Marwan Mohsen,1989-02-26,24,4,Al Ahly
Russia 2018,Egypt,10,FW,Mohamed Salah,1992-06-15,57,33,Liverpool
Russia 2018,Egypt,11,FW,Kahraba,1994-04-13,19,3,Al-Ittihad
Russia 2018,Egypt,12,DF,Ayman Ashraf,1991-04-09,4,0,Al Ahly
Russia 2018,Egypt,13,DF,Mohamed Abdel Shafy,1985-07-01,51,1,Al Fateh
Russia 2018,Egypt,14,FW,Ramadan Sobhi,1997-01-23,23,1,Stoke City
Russia 2018,Egypt,15,DF,Mahmoud Hamdy,1995-06-01,0,0,Zamalek
Russia 2018,Egypt,16,GK,Sherif Ekramy,1983-07-10,22,0,Al Ahly
Russia 2018,Egypt,17,MF,Mohamed Elneny,1992-07-11,61,5,Arsenal
Russia 2018,Egypt,18,FW,Shikabala,1986-03-05,29,2,Al Raed
Russia 2018,Egypt,19,MF,Abdallah El Said,1985-07-13,36,6,KuPS
Russia 2018,Egypt,20,DF,Saad Samir,1989-04-01,11,0,Al Ahly
Russia 2018,Egypt,21,MF,Trézéguet,1994-10-01,24,2,Kasımpaşa
Russia 2018,Egypt,22,FW,Amr Warda,1993-09-17,16,0,Atromitos
Russia 2018,Egypt,23,GK,Mohamed El Shenawy,1988-12-18,3,0,Al Ahly
Russia 2018,Russia,1,GK,Igor Akinfeev (captain),1986-04-08,106,0,CSKA Moscow
Russia 2018,Russia,2,DF,Mário Fernandes,1990-09-19,5,0,CSKA Moscow
Russia 2018,Russia,3,DF,Ilya Kutepov,1993-07-29,7,0,Spartak Moscow
Russia 2018,Russia,4,DF,Sergei Ignashevich,1979-07-14,122,8,CSKA Moscow
Russia 2018,Russia,5,DF,Andrei Semyonov,1989-03-24,6,0,Akhmat Grozny
Russia 2018,Russia,6,MF,Denis Cheryshev,1990-12-26,11,0,Villarreal
Russia 2018,Russia,7,MF,Daler Kuzyayev,1993-01-15,6,0,Zenit Saint Petersburg
Russia 2018,Russia,8,MF,Yury Gazinsky,1989-07-20,6,0,Krasnodar
Russia 2018,Russia,9,MF,Alan Dzagoev,1990-06-17,57,9,CSKA Moscow
Russia 2018,Russia,10,FW,Fyodor Smolov,1990-02-09,32,12,Krasnodar
Russia 2018,Russia,11,MF,Roman Zobnin,1994-02-11,12,0,Spartak Moscow
Russia 2018,Russia,12,GK,Andrey Lunyov,1991-11-13,3,0,Zenit Saint Petersburg
Russia 2018,Russia,13,DF,Fyodor Kudryashov,1987-04-05,19,0,Rubin Kazan
Russia 2018,Russia,14,DF,Vladimir Granat,1987-05-22,12,1,Rubin Kazan
Russia 2018,Russia,15,MF,Aleksei Miranchuk,1995-10-17,18,4,Lokomotiv Moscow
Russia 2018,Russia,16,MF,Anton Miranchuk,1995-10-17,6,0,Lokomotiv Moscow
Russia 2018,Russia,17,MF,Aleksandr Golovin,1996-05-30,19,2,CSKA Moscow
Russia 2018,Russia,18,MF,Yuri Zhirkov,1983-08-20,84,2,Zenit Saint Petersburg
Russia 2018,Russia,19,MF,Aleksandr Samedov,1984-07-19,48,7,Spartak Moscow
Russia 2018,Russia,20,GK,Vladimir Gabulov,1983-10-19,10,0,Club Brugge
Russia 2018,Russia,21,MF,Aleksandr Yerokhin,1989-10-13,17,0,Zenit Saint Petersburg
Russia 2018,Russia,22,FW,Artem Dzyuba,1988-08-22,23,11,Arsenal Tula
Russia 2018,Russia,23,DF,Igor Smolnikov,1988-08-08,27,0,Zenit Saint Petersburg
Russia 2018,Saudi Arabia,1,GK,Abdullah Al-Mayouf (captain),1987-01-23,11,0,Al Hilal
Russia 2018,Saudi Arabia,2,DF,Mansoor Al-Harbi,1987-10-19,40,1,Al Ahli
Russia 2018,Saudi Arabia,3,DF,Osama Hawsawi,1984-03-31,135,7,Al Hilal
Russia 2018,Saudi Arabia,4,DF,Ali Al-Bulaihi,1989-11-21,4,0,Al Hilal
Russia 2018,Saudi Arabia,5,DF,Omar Hawsawi,1985-09-27,42,3,Al Nassr
Russia 2018,Saudi Arabia,6,DF,Mohammed Al-Breik,1992-09-15,11,1,Al Hilal
Russia 2018,Saudi Arabia,7,MF,Salman Al-Faraj,1989-08-01,43,3,Al Hilal
Russia 2018,Saudi Arabia,8,MF,Yahya Al-Shehri,1990-06-26,57,8,Leganés
Russia 2018,Saudi Arabia,9,MF,Hattan Bahebri,1992-07-16,5,0,Al Shabab
Russia 2018,Saudi Arabia,10,FW,Mohammad Al-Sahlawi,1987-01-10,40,28,Al Nassr
Russia 2018,Saudi Arabia,11,MF,Abdulmalek Al-Khaibri,1986-03-13,36,0,Al Hilal
Russia 2018,Saudi Arabia,12,MF,Mohamed Kanno,1994-09-22,6,1,Al Hilal
Russia 2018,Saudi Arabia,13,DF,Yasser Al-Shahrani,1992-05-25,37,0,Al Hilal
Russia 2018,Saudi Arabia,14,MF,Abdullah Otayf,1992-08-03,16,1,Al Hilal
Russia 2018,Saudi Arabia,15,MF,Abdullah Al-Khaibari,1996-08-16,5,0,Al Shabab
Russia 2018,Saudi Arabia,16,MF,Housain Al-Mogahwi,1988-03-24,18,1,Al Ahli
Russia 2018,Saudi Arabia,17,MF,Taisir Al-Jassim,1984-07-25,132,19,Al Ahli
Russia 2018,Saudi Arabia,18,MF,Salem Al-Dawsari,1991-08-19,33,4,Villarreal
Russia 2018,Saudi Arabia,19,FW,Fahad Al-Muwallad,1994-09-14,45,10,Levante
Russia 2018,Saudi Arabia,20,FW,Muhannad Assiri,1986-10-14,18,4,Al Ahli
Russia 2018,Saudi Arabia,21,GK,Yasser Al-Mosailem,1984-02-27,32,0,Al Ahli
Russia 2018,Saudi Arabia,22,GK,Mohammed Al-Owais,1991-10-10,6,0,Al Ahli
Russia 2018,Saudi Arabia,23,DF,Motaz Hawsawi,1992-02-17,17,0,Al Ahli
Russia 2018,Uruguay,1,GK,Fernando Muslera,1986-06-16,97,0,Galatasaray
Russia 2018,Uruguay,2,DF,José Giménez,1995-01-20,42,5,Atlético Madrid
Russia 2018,Uruguay,3,DF,Diego Godín (captain),1986-02-16,116,8,Atlético Madrid
Russia 2018,Uruguay,4,DF,Guillermo Varela,1993-03-24,3,0,Peñarol
Russia 2018,Uruguay,5,MF,Carlos Sánchez,1984-12-02,36,1,Monterrey
Russia 2018,Uruguay,6,MF,Rodrigo Bentancur,1997-06-25,7,0,Juventus
Russia 2018,Uruguay,7,MF,Cristian Rodríguez,1985-09-30,105,11,Peñarol
Russia 2018,Uruguay,8,MF,Nahitan Nández,1995-12-28,12,0,Boca Juniors
Russia 2018,Uruguay,9,FW,Luis Suárez,1987-01-24,98,51,Barcelona
Russia 2018,Uruguay,10,FW,Giorgian De Arrascaeta,1994-06-01,14,2,Cruzeiro
Russia 2018,Uruguay,11,FW,Cristhian Stuani,1986-10-12,41,5,Girona
Russia 2018,Uruguay,12,GK,Martín Campaña,1989-05-29,1,0,Independiente
Russia 2018,Uruguay,13,DF,Gastón Silva,1994-03-05,17,0,Independiente
Russia 2018,Uruguay,14,MF,Lucas Torreira,1996-02-11,3,0,Sampdoria
Russia 2018,Uruguay,15,MF,Matías Vecino,1991-08-24,22,1,Inter Milan
Russia 2018,Uruguay,16,DF,Maxi Pereira,1984-06-08,125,3,Porto
Russia 2018,Uruguay,17,MF,Diego Laxalt,1993-02-07,6,0,Genoa
Russia 2018,Uruguay,18,FW,Maxi Gómez,1996-08-14,5,0,Celta Vigo
Russia 2018,Uruguay,19,DF,Sebastián Coates,1990-10-07,30,1,Sporting CP
Russia 2018,Uruguay,20,FW,Jonathan Urretaviscaya,1990-03-19,4,0,Monterrey
Russia 2018,Uruguay,21,FW,Edinson Cavani,1987-02-14,101,42,Paris Saint-Germain
Russia 2018,Uruguay,22,DF,Martín Cáceres,1987-04-07,76,4,Lazio
Russia 2018,Uruguay,23,GK,Martín Silva,1983-03-25,11,0,Vasco da Gama
Russia 2018,Iran,1,GK,Alireza Beiranvand,1992-09-21,22,0,Persepolis
Russia 2018,Iran,2,MF,Mehdi Torabi,1994-09-10,17,4,Saipa
Russia 2018,Iran,3,DF,Ehsan Hajsafi,1990-02-25,94,6,Olympiacos
Russia 2018,Iran,4,DF,Rouzbeh Cheshmi,1993-07-24,10,1,Esteghlal
Russia 2018,Iran,5,DF,Milad Mohammadi,1993-09-29,19,0,Akhmat Grozny
