Tournament,Country,Player_number,Player_position,Player,Captain,Date_of_Birth,Caps,Age,Goals,Club
Russia 2018,Egypt,1,Goalkeeper,Essam El Hadary ,Yes,1/15/1973,158,45,0,Al Taawoun
Russia 2018,Egypt,2,Defender,Ali Gabr,No,1/1/1989,21,29,1,West Bromwich Albion
Russia 2018,Egypt,3,Defender,Ahmed Elmohamady,No,9/9/1987,78,31,2,Aston Villa
Russia 2018,Egypt,4,Midfielder,Omar Gaber,No,1/30/1992,24,26,0,Los Angeles FC
Russia 2018,Egypt,5,Midfielder,Sam Morsy,No,9/10/1991,5,27,0,Wigan Athletic
Russia 2018,Egypt,6,Defender,Ahmed Hegazi,No,1/25/1991,45,27,1,West Bromwich Albion
Russia 2018,Egypt,7,Defender,Ahmed Fathy,No,11/10/1984,126,34,3,Al Ahly
Russia 2018,Egypt,8,Midfielder,Tarek Hamed,No,10/24/1988,21,30,0,Zamalek
Russia 2018,Egypt,9,Forward,Marwan Mohsen,No,2/26/1989,24,29,4,Al Ahly
Russia 2018,Egypt,10,Forward,Mohamed Salah,No,6/15/1992,57,26,33,Liverpool
Russia 2018,Egypt,11,Forward,Kahraba,No,4/13/1994,19,24,3,Al-Ittihad
Russia 2018,Egypt,12,Defender,Ayman Ashraf,No,4/9/1991,4,27,0,Al Ahly
Russia 2018,Egypt,13,Defender,Mohamed Abdel Shafy,No,7/1/1985,51,33,1,Al Fateh
Russia 2018,Egypt,14,Forward,Ramadan Sobhi,No,1/23/1997,23,21,1,Stoke City
Russia 2018,Egypt,15,Defender,Mahmoud Hamdy,No,6/1/1995,0,23,0,Zamalek
Russia 2018,Egypt,16,Goalkeeper,Sherif Ekramy,No,7/10/1983,22,35,0,Al Ahly
Russia 2018,Egypt,17,Midfielder,Mohamed Elneny,No,7/11/1992,61,26,5,Arsenal
Russia 2018,Egypt,18,Forward,Shikabala,No,3/5/1986,29,32,2,Al Raed
Russia 2018,Egypt,19,Midfielder,Abdallah El Said,No,7/13/1985,36,33,6,KuPS
Russia 2018,Egypt,20,Defender,Saad Samir,No,4/1/1989,11,29,0,Al Ahly
Russia 2018,Egypt,21,Midfielder,Trézéguet,No,10/1/1994,24,24,2,Kasımpaşa
Russia 2018,Egypt,22,Forward,Amr Warda,No,9/17/1993,16,25,0,Atromitos
Russia 2018,Egypt,23,Goalkeeper,Mohamed El Shenawy,No,12/18/1988,3,30,0,Al Ahly
Russia 2018,Russia,1,Goalkeeper,Igor Akinfeev ,Yes,4/8/1986,106,32,0,CSKA Moscow
Russia 2018,Russia,2,Defender,Mário Fernandes,No,9/19/1990,5,28,0,CSKA Moscow
Russia 2018,Russia,3,Defender,Ilya Kutepov,No,7/29/1993,7,25,0,Spartak Moscow
Russia 2018,Russia,4,Defender,Sergei Ignashevich,No,7/14/1979,122,39,8,CSKA Moscow
