Tournament,Stage,Tgroup,Home,Home_Score,Away_Score,Away,Winner,PKs
Korea/Japan 2002,Group stage,Group A,France,0,1,Senegal,Senegal,N/A
Korea/Japan 2002,Group stage,Group A,Uruguay,1,2,Denmark,Denmark,N/A
Korea/Japan 2002,Group stage,Group A,Denmark,1,1,Senegal,Tie,N/A
Korea/Japan 2002,Group stage,Group A,France,0,0,Uruguay,Tie,N/A
Korea/Japan 2002,Group stage,Group A,Denmark,2,0,France,Denmark,N/A
Korea/Japan 2002,Group stage,Group A,Senegal,3,3,Uruguay,Tie,N/A
Korea/Japan 2002,Group stage,Group B,Paraguay,2,2,South Africa,Tie,N/A
Korea/Japan 2002,Group stage,Group B,Spain,3,1,Slovenia,Spain,N/A
Korea/Japan 2002,Group stage,Group B,Spain,3,1,Paraguay,Spain,N/A
Korea/Japan 2002,Group stage,Group B,South Africa,1,0,Slovenia,South Africa,N/A
Korea/Japan 2002,Group stage,Group B,South Africa,2,3,Spain,Spain,N/A
Korea/Japan 2002,Group stage,Group B,Slovenia,1,3,Paraguay,Paraguay,N/A
Korea/Japan 2002,Group stage,Group C,Brazil,2,1,Turkey,Brazil,N/A
Korea/Japan 2002,Group stage,Group C,China PR,0,2,Costa Rica,Costa Rica,N/A
Korea/Japan 2002,Group stage,Group C,Brazil,4,0,China PR,Brazil,N/A
Korea/Japan 2002,Group stage,Group C,Costa Rica,1,1,Turkey,Tie,N/A
Korea/Japan 2002,Group stage,Group C,Costa Rica,2,5,Brazil,Brazil,N/A
Korea/Japan 2002,Group stage,Group C,Turkey,3,0,China PR,Turkey,N/A
Korea/Japan 2002,Group stage,Group D,South Korea,2,0,Poland,South Korea,N/A
Korea/Japan 2002,Group stage,Group D,United States,3,2,Portugal,United States,N/A
Korea/Japan 2002,Group stage,Group D,South Korea,1,1,United States,Tie,N/A
Korea/Japan 2002,Group stage,Group D,Portugal,4,0,Poland,Portugal,N/A
Korea/Japan 2002,Group stage,Group D,Portugal,0,1,South Korea,South Korea,N/A
Korea/Japan 2002,Group stage,Group D,Poland,3,1,United States,Poland,N/A
Korea/Japan 2002,Group stage,Group E,Republic of Ireland,1,1,Cameroon,Tie,N/A
Korea/Japan 2002,Group stage,Group E,Germany,8,0,Saudi Arabia,Germany,N/A
Korea/Japan 2002,Group stage,Group E,Germany,1,1,Republic of Ireland,Tie,N/A
Korea/Japan 2002,Group stage,Group E,Cameroon,1,0,Saudi Arabia,Cameroon,N/A
Korea/Japan 2002,Group stage,Group E,Cameroon,0,2,Germany,Germany,N/A
Korea/Japan 2002,Group stage,Group E,Saudi Arabia,0,3,Republic of Ireland,Republic of Ireland,N/A
Korea/Japan 2002,Group stage,Group F,Argentina,1,0,Nigeria,Argentina,N/A
Korea/Japan 2002,Group stage,Group F,England,1,1,Sweden,Tie,N/A
Korea/Japan 2002,Group stage,Group F,Sweden,2,1,Nigeria,Sweden,N/A
Korea/Japan 2002,Group stage,Group F,Argentina,0,1,England,England,N/A
Korea/Japan 2002,Group stage,Group F,Sweden,1,1,Argentina,Tie,N/A
Korea/Japan 2002,Group stage,Group F,Nigeria,0,0,England,Tie,N/A
Korea/Japan 2002,Group stage,Group G,Croatia,0,1,Mexico,Mexico,N/A
Korea/Japan 2002,Group stage,Group G,Italy,2,0,Ecuador,Italy,N/A
Korea/Japan 2002,Group stage,Group G,Italy,1,2,Croatia,Croatia,N/A
Korea/Japan 2002,Group stage,Group G,Mexico,2,1,Ecuador,Mexico,N/A
Korea/Japan 2002,Group stage,Group G,Mexico,1,1,Italy,Tie,N/A
Korea/Japan 2002,Group stage,Group G,Ecuador,1,0,Croatia,Ecuador,N/A
Korea/Japan 2002,Group stage,Group H,Japan,2,2,Belgium,Tie,N/A
Korea/Japan 2002,Group stage,Group H,Russia,2,0,Tunisia,Russia,N/A
Korea/Japan 2002,Group stage,Group H,Japan,1,0,Russia,Japan,N/A
Korea/Japan 2002,Group stage,Group H,Tunisia,1,1,Belgium,Tie,N/A
Korea/Japan 2002,Group stage,Group H,Tunisia,0,2,Japan,Japan,N/A
Korea/Japan 2002,Group stage,Group H,Belgium,3,2,Russia,Belgium,N/A
Korea/Japan 2002,Round of 16,N/A,Germany,1,0,Paraguay,Germany,N/A
Korea/Japan 2002,Round of 16,N/A,Denmark,0,3,England,England,N/A
Korea/Japan 2002,Round of 16,N/A,Sweden,1,2,Senegal,Senegal,N/A
Korea/Japan 2002,Round of 16,N/A,Spain,1,1,Republic of Ireland,Tie,Yes
Korea/Japan 2002,Round of 16,N/A,Mexico,0,2,United States,United States,N/A
Korea/Japan 2002,Round of 16,N/A,Brazil,2,0,Belgium,Brazil,N/A
Korea/Japan 2002,Round of 16,N/A,Japan,0,1,Turkey,Turkey,N/A
Korea/Japan 2002,Round of 16,N/A,South Korea,2,1,Italy,South Korea,N/A
Korea/Japan 2002,Quarter-finals,N/A,England,1,2,Brazil,Brazil,N/A
Korea/Japan 2002,Quarter-finals,N/A,Germany,1,0,United States,Germany,N/A
Korea/Japan 2002,Quarter-finals,N/A,Spain,0,0,South Korea,Tie,Yes
Korea/Japan 2002,Quarter-finals,N/A,Senegal,0,1,Turkey,Turkey,N/A
Korea/Japan 2002,Semi-finals,N/A,Germany,1,0,South Korea,Germany,N/A
Korea/Japan 2002,Semi-finals,N/A,Brazil,1,0,Turkey,Brazil,N/A
Korea/Japan 2002,Third place play-off,N/A,South Korea,2,3,Turkey,Turkey,N/A
Korea/Japan 2002,Final,N/A,Germany,0,2,Brazil,Brazil,N/A
Germany 2006,Group stage,Group A,Germany,4,2,Costa Rica,Germany,N/A
Germany 2006,Group stage,Group A,Poland,0,2,Ecuador,Ecuador,N/A
Germany 2006,Group stage,Group A,Germany,1,0,Poland,Germany,N/A
Germany 2006,Group stage,Group A,Ecuador,3,0,Costa Rica,Ecuador,N/A
Germany 2006,Group stage,Group A,Ecuador,0,3,Germany,Germany,N/A
Germany 2006,Group stage,Group A,Costa Rica,1,2,Poland,Poland,N/A
Germany 2006,Group stage,Group B,England,1,0,Paraguay,England,N/A
Germany 2006,Group stage,Group B,Trinidad and Tobago,0,0,Sweden,Tie,N/A
Germany 2006,Group stage,Group B,England,2,0,Trinidad and Tobago,England,N/A
Germany 2006,Group stage,Group B,Sweden,1,0,Paraguay,Sweden,N/A
Germany 2006,Group stage,Group B,Sweden,2,2,England,Tie,N/A
Germany 2006,Group stage,Group B,Paraguay,2,0,Trinidad and Tobago,Paraguay,N/A
Germany 2006,Group stage,Group C,Argentina,2,1,Ivory Coast,Argentina,N/A
Germany 2006,Group stage,Group C,Serbia and Montenegro,0,1,Netherlands,Netherlands,N/A
Germany 2006,Group stage,Group C,Argentina,6,0,Serbia and Montenegro,Argentina,N/A
Germany 2006,Group stage,Group C,Netherlands,2,1,Ivory Coast,Netherlands,N/A
Germany 2006,Group stage,Group C,Netherlands,0,0,Argentina,Tie,N/A
Germany 2006,Group stage,Group C,Ivory Coast,3,2,Serbia and Montenegro,Ivory Coast,N/A
Germany 2006,Group stage,Group D,Mexico,3,1,Iran,Mexico,N/A
Germany 2006,Group stage,Group D,Angola,0,1,Portugal,Portugal,N/A
Germany 2006,Group stage,Group D,Mexico,0,0,Angola,Tie,N/A
Germany 2006,Group stage,Group D,Portugal,2,0,Iran,Portugal,N/A
Germany 2006,Group stage,Group D,Portugal,2,1,Mexico,Portugal,N/A
Germany 2006,Group stage,Group D,Iran,1,1,Angola,Tie,N/A
Germany 2006,Group stage,Group E,United States,0,3,Czech Republic,Czech Republic,N/A
Germany 2006,Group stage,Group E,Italy,2,0,Ghana,Italy,N/A
Germany 2006,Group stage,Group E,Czech Republic,0,2,Ghana,Ghana,N/A
Germany 2006,Group stage,Group E,Italy,1,1,United States,Tie,N/A
Germany 2006,Group stage,Group E,Czech Republic,0,2,Italy,Italy,N/A
Germany 2006,Group stage,Group E,Ghana,2,1,United States,Ghana,N/A
Germany 2006,Group stage,Group F,Australia,3,1,Japan,Australia,N/A
Germany 2006,Group stage,Group F,Brazil,1,0,Croatia,Brazil,N/A
Germany 2006,Group stage,Group F,Japan,0,0,Croatia,Tie,N/A
Germany 2006,Group stage,Group F,Brazil,2,0,Australia,Brazil,N/A
Germany 2006,Group stage,Group F,Japan,1,4,Brazil,Brazil,N/A
Germany 2006,Group stage,Group F,Croatia,2,2,Australia,Tie,N/A
Germany 2006,Group stage,Group G,South Korea,2,1,Togo,South Korea,N/A
Germany 2006,Group stage,Group G,France,0,0,Switzerland,Tie,N/A
Germany 2006,Group stage,Group G,France,1,1,South Korea,Tie,N/A
Germany 2006,Group stage,Group G,Togo,0,2,Switzerland,Switzerland,N/A
Germany 2006,Group stage,Group G,Togo,0,2,France,France,N/A
Germany 2006,Group stage,Group G,Switzerland,2,0,South Korea,Switzerland,N/A
Germany 2006,Group stage,Group H,Spain,4,0,Ukraine,Spain,N/A
Germany 2006,Group stage,Group H,Tunisia,2,2,Saudi Arabia,Tie,N/A
Germany 2006,Group stage,Group H,Saudi Arabia,0,4,Ukraine,Ukraine,N/A
Germany 2006,Group stage,Group H,Spain,3,1,Tunisia,Spain,N/A
Germany 2006,Group stage,Group H,Saudi Arabia,0,1,Spain,Spain,N/A
Germany 2006,Group stage,Group H,Ukraine,1,0,Tunisia,Ukraine,N/A
Germany 2006,Round of 16,N/A,Germany,2,0,Sweden,Germany,N/A
Germany 2006,Round of 16,N/A,Argentina,2,1,Mexico,Argentina,N/A
Germany 2006,Round of 16,N/A,England,1,0,Ecuador,England,N/A
Germany 2006,Round of 16,N/A,Portugal,1,0,Netherlands,Portugal,N/A
Germany 2006,Round of 16,N/A,Italy,1,0,Australia,Italy,N/A
Germany 2006,Round of 16,N/A,Switzerland,0,0,Ukraine,Tie,Yes
Germany 2006,Round of 16,N/A,Brazil,3,0,Ghana,Brazil,N/A
Germany 2006,Round of 16,N/A,Spain,1,3,France,France,N/A
Germany 2006,Quarter-finals,N/A,Germany,1,1,Argentina,Tie,Yes
Germany 2006,Quarter-finals,N/A,Italy,3,0,Ukraine,Italy,N/A
Germany 2006,Quarter-finals,N/A,England,0,0,Portugal,Tie,Yes
Germany 2006,Quarter-finals,N/A,Brazil,0,1,France,France,N/A
Germany 2006,Semi-finals,N/A,Germany,0,2,Italy,Italy,N/A
Germany 2006,Semi-finals,N/A,Portugal,0,1,France,France,N/A
Germany 2006,Third place play-off,N/A,Germany,3,1,Portugal,Germany,N/A
Germany 2006,Final,N/A,Italy,1,1,France,Tie,Yes
South Africa 2010,Group stage,Group A,South Africa,1,1,Mexico,Tie,N/A
South Africa 2010,Group stage,Group A,Uruguay,0,0,France,Tie,N/A
South Africa 2010,Group stage,Group A,South Africa,0,3,Uruguay,Uruguay,N/A
South Africa 2010,Group stage,Group A,France,0,2,Mexico,Mexico,N/A
South Africa 2010,Group stage,Group A,Mexico,0,1,Uruguay,Uruguay,N/A
South Africa 2010,Group stage,Group A,France,1,2,South Africa,South Africa,N/A
South Africa 2010,Group stage,Group B,South Korea,2,0,Greece,South Korea,N/A
South Africa 2010,Group stage,Group B,Argentina,1,0,Nigeria,Argentina,N/A
South Africa 2010,Group stage,Group B,Argentina,4,1,South Korea,Argentina,N/A
South Africa 2010,Group stage,Group B,Greece,2,1,Nigeria,Greece,N/A
South Africa 2010,Group stage,Group B,Nigeria,2,2,South Korea,Tie,N/A
South Africa 2010,Group stage,Group B,Greece,0,2,Argentina,Argentina,N/A
South Africa 2010,Group stage,Group C,England,1,1,United States,Tie,N/A
South Africa 2010,Group stage,Group C,Algeria,0,1,Slovenia,Slovenia,N/A
South Africa 2010,Group stage,Group C,Slovenia,2,2,United States,Tie,N/A
South Africa 2010,Group stage,Group C,England,0,0,Algeria,Tie,N/A
South Africa 2010,Group stage,Group C,Slovenia,0,1,England,England,N/A
South Africa 2010,Group stage,Group C,United States,1,0,Algeria,United States,N/A
South Africa 2010,Group stage,Group D,Serbia,0,1,Ghana,Ghana,N/A
South Africa 2010,Group stage,Group D,Germany,4,0,Australia,Germany,N/A
South Africa 2010,Group stage,Group D,Germany,0,1,Serbia,Serbia,N/A
South Africa 2010,Group stage,Group D,Ghana,1,1,Australia,Tie,N/A
South Africa 2010,Group stage,Group D,Ghana,0,1,Germany,Germany,N/A
South Africa 2010,Group stage,Group D,Australia,2,1,Serbia,Australia,N/A
South Africa 2010,Group stage,Group E,Netherlands,2,0,Denmark,Netherlands,N/A
South Africa 2010,Group stage,Group E,Japan,1,0,Cameroon,Japan,N/A
South Africa 2010,Group stage,Group E,Netherlands,1,0,Japan,Netherlands,N/A
South Africa 2010,Group stage,Group E,Cameroon,1,2,Denmark,Denmark,N/A
South Africa 2010,Group stage,Group E,Denmark,1,3,Japan,Japan,N/A
South Africa 2010,Group stage,Group E,Cameroon,1,2,Netherlands,Netherlands,N/A
South Africa 2010,Group stage,Group F,Italy,1,1,Paraguay,Tie,N/A
South Africa 2010,Group stage,Group F,New Zealand,1,1,Slovakia,Tie,N/A
South Africa 2010,Group stage,Group F,Slovakia,0,2,Paraguay,Paraguay,N/A
South Africa 2010,Group stage,Group F,Italy,1,1,New Zealand,Tie,N/A
South Africa 2010,Group stage,Group F,Slovakia,3,2,Italy,Slovakia,N/A
South Africa 2010,Group stage,Group F,Paraguay,0,0,New Zealand,Tie,N/A
South Africa 2010,Group stage,Group G,Ivory Coast,0,0,Portugal,Tie,N/A
South Africa 2010,Group stage,Group G,Brazil,2,1,North Korea,Brazil,N/A
South Africa 2010,Group stage,Group G,Brazil,3,1,Ivory Coast,Brazil,N/A
South Africa 2010,Group stage,Group G,Portugal,7,0,North Korea,Portugal,N/A
South Africa 2010,Group stage,Group G,Portugal,0,0,Brazil,Tie,N/A
South Africa 2010,Group stage,Group G,North Korea,0,3,Ivory Coast,Ivory Coast,N/A
South Africa 2010,Group stage,Group H,Honduras,0,1,Chile,Chile,N/A
South Africa 2010,Group stage,Group H,Spain,0,1,Switzerland,Switzerland,N/A
South Africa 2010,Group stage,Group H,Chile,1,0,Switzerland,Chile,N/A
South Africa 2010,Group stage,Group H,Spain,2,0,Honduras,Spain,N/A
South Africa 2010,Group stage,Group H,Chile,1,2,Spain,Spain,N/A
South Africa 2010,Group stage,Group H,Switzerland,0,0,Honduras,Tie,N/A
South Africa 2010,Round of 16,N/A,Uruguay,2,1,South Korea,Uruguay,N/A
South Africa 2010,Round of 16,N/A,United States,1,2,Ghana,Ghana,N/A
South Africa 2010,Round of 16,N/A,Germany,4,1,England,Germany,N/A
South Africa 2010,Round of 16,N/A,Argentina,3,1,Mexico,Argentina,N/A
South Africa 2010,Round of 16,N/A,Netherlands,2,1,Slovakia,Netherlands,N/A
South Africa 2010,Round of 16,N/A,Brazil,3,0,Chile,Brazil,N/A
South Africa 2010,Round of 16,N/A,Paraguay,0,0,Japan,Tie,Yes
South Africa 2010,Round of 16,N/A,Spain,1,0,Portugal,Spain,N/A
South Africa 2010,Quarter-finals,N/A,Netherlands,2,1,Brazil,Netherlands,N/A
South Africa 2010,Quarter-finals,N/A,Uruguay,1,1,Ghana,Tie,Yes
South Africa 2010,Quarter-finals,N/A,Argentina,0,4,Germany,Germany,N/A
South Africa 2010,Quarter-finals,N/A,Paraguay,0,1,Spain,Spain,N/A
South Africa 2010,Semi-finals,N/A,Uruguay,2,3,Netherlands,Netherlands,N/A
South Africa 2010,Semi-finals,N/A,Germany,0,1,Spain,Spain,N/A
South Africa 2010,Third place play-off,N/A,Uruguay,2,3,Germany,Germany,N/A
South Africa 2010,Final,N/A,Netherlands,0,1,Spain,Spain,N/A
Brazil 2014,Group stage,Group A,Brazil,3,1,Croatia,Brazil,N/A
Brazil 2014,Group stage,Group A,Mexico,1,0,Cameroon,Mexico,N/A
Brazil 2014,Group stage,Group A,Brazil,0,0,Mexico,Tie,N/A
Brazil 2014,Group stage,Group A,Cameroon,0,4,Croatia,Croatia,N/A
